qShort qLong baseline 
51113 59527 523 
49526 75825 606 
74130 142273 402 
53771 99609 455 
56076 96432 481 
49235 88142 444 
52395 94503 450 
54918 96540 470 
54234 103993 475 
55141 94845 448 
53139 100588 443 
54298 94520 480 
73580 130150 391 
54574 99262 434 
48942 87850 467 
46491 75338 505 
55443 92741 451 
52980 94563 458 
54961 95415 473 
68647 138035 375 
50140 83783 443 
50229 99474 466 
53149 91879 475 
58653 116817 443 
57207 100224 473 
45244 68085 525 
54187 95015 448 
54283 97412 427 
51002 84799 489 
56582 104877 471 
50624 89840 458 
81401 141861 374 
56258 92214 477 
67057 127741 413 
56159 101735 425 
106029 165395 278 
57435 102372 482 
52021 90014 465 
39577 33095 523 
51340 64401 588 
49414 76826 442 
53544 100578 409 
50881 90126 485 
48243 62573 542 
55882 98037 441 
51095 95129 489 
64453 111228 431 
56230 95858 461 
53091 94430 435 
54254 84992 486 
48826 86594 467 
53604 96158 441 
57992 105886 443 
60689 115259 446 
54703 97738 448 
55097 102038 410 
53086 93065 484 
53791 92238 466 
51064 88315 465 
55807 118128 404 
52504 110867 431 
51687 94443 440 
54020 96615 427 
49111 74663 541 
44078 92225 405 
39110 76483 402 
56330 95599 522 
54055 90043 507 
53587 103810 441 
52491 89734 464 
52400 99640 476 
50774 89423 461 
52959 101649 414 
50558 90705 469 
55439 102106 490 
53664 103521 429 
53225 94814 445 
50364 96810 495 
38432 21278 666 
35135 42765 494 
51118 63370 535 
55561 100545 529 
52095 83429 490 
54100 92522 459 
51346 92496 482 
13403 93643 369 
46787 80636 452 
55310 97548 445 
52716 95098 467 
52544 88359 501 
49245 84696 454 
52812 94128 464 
50644 91339 485 
51763 91180 448 
54002 89744 461 
54144 95472 476 
55312 94585 482 
54366 95818 430 
54676 95509 469 
55462 94604 483 
53563 88538 461 
54820 95167 451 
46979 55155 546 
51875 87384 487 
48820 77127 471 
59516 114868 447 
55141 76838 539 
49390 66342 519 
54099 91530 445 
57352 110797 478 
51222 82084 509 
54626 84621 468 
53509 105678 420 
54584 98899 478 
50225 52836 510 
57194 100836 427 
59215 110171 480 
48697 81187 502 
53574 98324 441 
3728 73509 302 
52729 78624 516 
65179 105083 450 
64871 124213 477 
56650 97983 435 
53723 81042 513 
50116 78748 500 
54780 98439 441 
53584 106732 442 
54732 95353 468 
52515 98838 475 
49083 76993 464 
51544 93572 478 
52798 92209 477 
54675 93020 450 
52456 94151 479 
54261 94291 489 
55153 101460 472 
53770 99573 426 
48122 71228 531 
53079 95300 464 
53752 90324 455 
53856 104507 469 
38417 88981 424 
55427 95881 444 
54499 101214 469 
49538 82959 482 
54095 105919 380 
50284 76223 527 
49907 86748 492 
52492 89511 506 
100198 168891 281 
46937 71665 428 
55735 90659 481 
53322 95559 464 
54634 99750 433 
52577 99338 465 
7391 66598 402 
66855 138151 488 
53601 99301 447 
53595 97035 447 
55996 105954 438 
1824 35374 400 
62126 122176 446 
54039 115785 424 
52225 100124 509 
60051 126468 426 
43985 60822 476 
50639 95658 452 
52335 93080 480 
54940 94753 449 
51237 88844 471 
54731 97038 468 
53702 87067 525 
54008 92223 459 
56456 101938 450 
51751 93258 482 
51241 87342 443 
53276 97781 445 
58597 105920 465 
55314 95949 486 
54844 98682 439 
54651 97184 455 
59422 110633 441 
44307 81294 415 
106492 159254 417 
49401 74419 522 
56199 82571 526 
58485 101989 444 
30288 26087 668 
62337 114881 524 
53878 104164 426 
51914 80370 458 
50843 85710 472 
53828 93458 474 
52641 81728 436 
48128 88050 447 
52044 87648 503 
53664 97656 458 
53529 97734 423 
54830 84878 500 
54194 88039 480 
102778 163743 288 
68154 125552 494 
66463 108703 502 
56875 97366 435 
54751 98207 441 
56434 110045 479 
49894 89459 491 
53092 91682 451 
55528 82648 476 
52217 91914 460 
46186 67272 507 
50961 85460 451 
54863 99922 466 
58997 108901 425 
52941 96749 444 
58437 105131 481 
52140 94081 483 
55354 98325 462 
55426 94352 439 
55181 101499 466 
55233 103303 450 
52361 93607 453 
54012 99444 467 
9932 72643 387 
51593 92446 477 
53421 96477 416 
53275 82545 446 
59199 117638 416 
60512 120515 418 
60637 113086 406 
52507 96240 466 
54676 93408 491 
52502 94294 456 
52489 92083 455 
57090 104536 460 
116339 150864 390 
56711 98740 451 
53782 95047 465 
53716 94355 488 
54333 97096 430 
53837 97026 454 
51110 76997 507 
58715 109513 419 
79729 146726 410 
17133 99097 263 
51124 76470 488 
60804 113765 515 
50976 87825 465 
55888 107745 430 
51469 87949 492 
53253 93680 451 
54702 92266 472 
55681 95442 492 
54470 95169 501 
54857 97850 433 
53424 97127 453 
54150 94241 485 
51159 91727 450 
53824 95013 467 
54955 95336 466 
52785 89948 504 
53176 90758 456 
50548 83426 474 
54167 95764 474 
98643 138864 334 
53106 91191 437 
51210 77792 484 
56409 107027 507 
52118 76879 486 
48402 76313 465 
48252 66184 526 
56227 94087 438 
22711 -17667 650 
54907 96929 480 
45355 82504 489 
53796 95967 444 
58100 107903 464 
60303 116778 479 
50262 66829 512 
58310 105299 413 
51708 79117 502 
55405 98617 466 
55801 96087 440 
73551 137705 401 
61624 120787 365 
51238 85475 462 
55762 91801 466 
53273 92358 472 
56340 104171 461 
53271 94365 443 
54612 94257 468 
57179 107593 437 
54840 96547 451 
52939 94216 442 
55275 107236 449 
55930 96692 464 
52856 93930 444 
54568 90457 481 
52181 93684 482 
54956 90889 478 
55625 112407 387 
52889 93826 470 
56053 98403 472 
52336 95914 444 
56393 79678 569 
65200 127397 376 
66629 127125 470 
50079 85828 481 
53971 85931 532 
74479 141708 386 
51501 88216 446 
50764 93616 459 
50383 88361 502 
52942 86555 541 
56554 98542 443 
52896 98423 479 
56989 117540 451 
55289 93713 453 
50196 71894 483 
50022 73644 520 
49610 80393 486 
166 54522 270 
53373 77030 505 
45939 68460 531 
2448 72724 324 
28594 8498 666 
28818 22218 516 
53711 101973 435 
46396 69033 480 
44097 61287 466 
54264 98852 454 
54346 97557 477 
53085 98259 449 
52657 92945 464 
56873 98498 464 
54252 93939 507 
54947 98793 447 
50095 91363 471 
53456 93665 480 
52776 93865 469 
53603 97371 452 
55369 96796 466 
53491 95954 490 
59088 101552 450 
56979 111135 441 
52013 85860 492 
54014 91072 449 
40915 97283 365 
54141 80525 495 
51210 96054 453 
52938 90229 465 
58818 121247 406 
47950 69664 552 
55540 96185 440 
53377 100421 441 
65106 121219 414 
59910 96271 564 
103929 184692 248 
2648 56252 322 
54534 97511 436 
54282 102995 458 
53888 77046 449 
52885 98171 432 
56391 105343 463 
53130 92631 490 
49867 82740 460 
67732 138287 371 
54949 104977 494 
57185 83829 505 
54048 92058 457 
59938 115581 478 
52440 88339 477 
55431 95417 444 
53246 94777 475 
54149 93598 473 
50835 82581 471 
53030 95906 428 
54017 94603 478 
58010 107385 428 
53392 93586 442 
53936 86678 487 
47052 73639 504 
54037 94871 458 
55408 95858 423 
54048 94499 479 
1730 68818 332 
53268 82637 518 
46267 63245 491 
66654 128341 438 
56133 96325 465 
53171 94374 458 
62237 109721 459 
48303 84722 448 
52188 91285 497 
52455 108071 392 
56072 102314 475 
53653 98214 446 
51194 86405 437 
54822 101230 433 
43813 63346 540 
46402 68686 476 
52125 89196 457 
53556 87828 485 
51054 96508 449 
58305 113202 434 
57923 114274 391 
57277 113630 437 
55810 116431 452 
53311 93833 481 
49683 64638 509 
51803 76467 510 
48482 76849 498 
55783 94729 449 
53721 99013 471 
56869 109560 433 
57090 80474 468 
52831 93434 472 
62777 117115 460 
53537 93116 451 
52979 90878 457 
44368 84047 497 
53112 90830 459 
55083 91364 472 
52892 94120 479 
56200 106642 469 
52172 93460 458 
53235 92584 454 
59572 116346 460 
57856 115909 389 
123797 189356 343 
49198 82708 484 
49404 79692 489 
54438 93139 444 
54622 78946 522 
53504 81730 466 
51552 96595 396 
53005 91857 451 
56504 101559 464 
53026 91036 484 
54653 94586 444 
54754 100854 439 
60671 126189 407 
106282 174555 306 
53653 88228 469 
56609 126457 396 
51235 84146 492 
56570 87886 476 
19706 -29157 652 
48371 93904 444 
59982 119307 436 
53538 72776 525 
53807 88300 486 
53721 94811 476 
53339 87076 464 
68426 119114 413 
48885 81233 490 
53086 84770 469 
54122 95139 417 
52782 83921 514 
52778 96093 469 
53866 95117 444 
56988 103916 453 
53103 92337 479 
55459 97411 442 
54511 100457 438 
52853 90211 486 
52053 96433 468 
53963 97317 446 
25430 22310 545 
53628 96296 466 
55822 98886 462 
46919 78884 441 
52608 72998 559 
58659 96177 484 
76276 141674 349 
51222 72190 495 
66141 131878 388 
7666 49487 378 
52954 90181 455 
49443 70262 469 
45957 80801 497 
43423 58517 533 
55982 99013 447 
51874 88417 488 
47733 73535 532 
61307 104958 441 
53060 81810 479 
58509 112267 460 
-1853 65124 279 
116455 173254 369 
54517 69249 540 
51747 91422 449 
47519 82766 449 
57461 107452 420 
48463 73639 483 
52413 83915 492 
11665 80509 326 
53203 93794 453 
51009 94632 453 
53243 93187 475 
49514 78530 537 
53864 97680 440 
52280 87378 456 
51047 88878 491 
56814 107956 442 
55593 93954 461 
54381 100827 460 
55503 95703 496 
58610 112719 431 
53228 98295 435 
61563 119044 443 
70763 109741 503 
53747 90397 441 
49626 56488 551 
46671 83162 481 
53814 96648 455 
51354 92182 390 
52794 97411 470 
55306 107377 427 
53891 101126 453 
62603 123983 405 
52046 90047 508 
50866 89186 455 
53330 97237 453 
55347 96515 475 
50885 83129 470 
52286 80453 478 
49220 86764 479 
11960 99235 299 
49543 94387 483 
32116 15090 514 
122301 215418 308 
49482 80130 443 
44417 48923 492 
50213 64002 537 
57695 78629 540 
49740 90647 482 
53817 95033 441 
56158 97773 471 
52823 95858 467 
79009 137193 371 
55345 94980 439 
54308 95778 471 
55189 96667 466 
52580 93569 442 
52016 84815 481 
74394 118333 409 
62116 113188 436 
54807 92211 427 
54632 101013 463 
53840 89207 492 
46029 74907 468 
57263 106694 463 
51197 98991 460 
51244 96195 465 
54793 104515 383 
47790 84872 447 
48665 76523 515 
63223 117504 476 
52196 91944 487 
53497 97525 477 
54958 93116 454 
64243 131316 396 
56140 102634 475 
51946 90044 488 
56146 105159 409 
54370 89261 488 
55967 108257 476 
55982 101531 449 
50411 81907 462 
50923 76159 494 
67265 118653 389 
51476 92371 426 
92165 149009 366 
58523 119858 498 
53294 92065 451 
50348 91010 460 
51446 85189 504 
56979 110840 459 
52852 92894 456 
59515 97343 487 
52822 100357 477 
63511 120743 403 
51284 93052 454 
53691 96495 472 
55242 96229 453 
56174 93456 466 
53326 85140 487 
54253 97147 490 
60808 115422 421 
57980 102386 436 
54262 90446 478 
51911 90670 451 
52226 94292 464 
65633 112758 421 
50228 89065 477 
52471 83439 528 
52860 70821 532 
48696 85019 463 
56769 104039 446 
50375 86029 455 
53405 105818 419 
54270 92857 488 
52721 89360 446 
51534 84002 476 
51561 93257 474 
54681 105943 426 
55473 95530 469 
53130 93611 470 
52611 78767 532 
60508 108429 415 
52045 96761 452 
48409 74806 526 
52048 81032 474 
46584 51030 518 
59757 106584 448 
53449 97481 464 
52445 96535 441 
55370 105004 447 
51616 93340 477 
54935 95576 460 
54717 92566 437 
52760 93784 471 
54943 94655 475 
53145 98145 440 
53905 97229 467 
52007 94533 474 
52787 100046 429 
55598 100562 423 
52474 90808 483 
55042 102886 461 
53188 63100 575 
41872 51643 528 
51374 84899 492 
50584 76254 502 
84899 145596 344 
52324 86141 485 
58397 123004 464 
54338 90456 524 
61632 107611 435 
57855 108692 440 
50406 84588 476 
52054 93971 445 
50853 86290 494 
54617 106434 449 
53987 99685 421 
47331 86261 474 
52300 102663 449 
108033 165395 313 
79235 137308 355 
62286 99343 552 
31384 37220 462 
51872 85096 470 
58422 124597 387 
55445 99088 460 
57784 99056 444 
55816 99570 438 
53150 97282 473 
55017 95168 462 
50918 87794 462 
52714 84944 506 
52903 102339 477 
51563 87005 461 
55031 94577 455 
52718 94457 480 
52072 84258 470 
57804 100532 439 
50452 84766 474 
55452 96481 493 
50718 85274 466 
53467 97478 433 
52036 93723 462 
105244 170091 295 
53840 93661 449 
52392 99135 441 
59795 114855 483 
58969 112532 433 
56344 100941 504 
55133 90483 514 
50167 82679 470 
87537 105430 354 
52219 88763 462 
51484 77995 521 
57314 95858 449 
62470 123633 430 
53661 93611 479 
60205 105032 455 
39911 87931 438 
53228 88076 484 
52382 91275 503 
40764 34021 594 
60497 127556 407 
74420 143715 401 
56687 95375 472 
47915 75054 462 
52913 89919 465 
51110 86911 501 
52815 92734 450 
54527 93910 463 
51612 92983 478 
53554 94430 443 
56334 99640 425 
52066 97198 457 
50832 93808 460 
54957 97305 448 
12604 91668 275 
54480 97349 459 
55996 98335 471 
52591 96601 445 
53265 86357 472 
55845 97044 478 
54150 92655 498 
48305 82675 454 
52928 75354 522 
52946 94829 473 
73853 128184 377 
54621 107181 359 
54988 107501 457 
48642 81892 448 
68403 116179 427 
53700 86531 506 
55728 100958 451 
55125 98673 427 
54292 99389 429 
52165 100573 457 
54380 94304 482 
55140 95779 451 
56502 107826 428 
53206 96931 467 
53057 73704 521 
52962 99296 428 
56986 126193 414 
50836 90275 463 
51395 86153 466 
57119 119841 409 
54634 105594 454 
50919 88823 435 
51787 93023 447 
52871 93473 482 
53633 90548 469 
51839 94989 448 
53768 97022 479 
55311 95257 487 
52589 93616 458 
53788 95130 447 
54000 100470 479 
52880 93131 464 
55763 95681 451 
59849 112545 464 
55005 98901 490 
57174 103295 454 
60346 113221 428 
45521 62536 532 
53870 95049 477 
57105 100736 442 
50972 68864 557 
12031 62330 417 
51510 92680 510 
53353 83060 524 
51156 87866 492 
49877 94045 437 
53959 98896 459 
54334 93218 476 
52115 99145 451 
52330 92450 493 
55474 97489 437 
50975 92815 469 
53597 92441 483 
51402 88791 467 
60088 107472 489 
50152 74941 492 
51306 95730 479 
16417 -16965 617 
115549 169967 392 
53422 92920 484 
60307 122660 396 
44766 54881 462 
56361 86114 477 
57028 106847 460 
52778 93882 445 
54531 95096 461 
51410 91143 488 
53546 96119 443 
54728 93840 436 
52407 92894 473 
47635 85336 482 
58175 104076 436 
51400 86691 469 
55634 94754 478 
53788 88226 482 
54409 92286 434 
50784 85981 487 
54166 94028 487 
46106 74815 443 
52944 95341 458 
61739 102352 475 
48022 85901 445 
55263 106738 401 
58008 96157 485 
52970 102808 497 
55818 94377 413 
53445 97474 479 
54751 101797 468 
59580 92064 409 
54446 96175 436 
55255 93669 477 
60632 124448 404 
53236 95774 447 
56521 105949 464 
52157 97317 454 
60036 101121 472 
47145 81855 442 
65476 140424 407 
54474 94724 502 
55060 108269 404 
51576 85253 503 
62771 120487 471 
53566 105613 431 
56206 103557 419 
49042 86093 492 
53603 93590 467 
56144 97175 440 
51964 85595 495 
53791 93884 480 
53247 99282 448 
51097 88248 442 
54147 94313 486 
52292 91626 466 
53408 92436 452 
54631 91854 483 
51676 85637 509 
53147 87613 445 
48747 81886 466 
36072 4057 683 
59283 117210 436 
54340 89998 455 
53536 105335 449 
51999 77140 542 
54982 91411 509 
31293 19237 643 
56081 85014 505 
46431 57137 538 
52476 82535 498 
9698 50750 330 
53224 95126 472 
57350 110913 516 
50499 87270 459 
54057 102727 436 
60528 120763 472 
46790 76232 458 
50323 77674 484 
72602 133977 389 
59419 131282 403 
37678 30434 553 
55758 106126 423 
53843 95892 488 
52431 82067 457 
25917 51182 454 
52845 100034 465 
55798 94292 487 
52900 93141 450 
51357 83339 458 
52592 94539 483 
53779 94967 443 
55150 93166 446 
54471 105059 444 
209 56538 411 
54538 88695 490 
53838 101095 437 
53295 92500 464 
51317 94514 478 
52840 99873 422 
55926 98552 435 
53736 100154 467 
54969 75535 509 
56697 104118 410 
58300 96086 483 
49522 85080 499 
52566 78096 465 
51325 75878 436 
53196 93278 477 
52821 102005 419 
58324 92833 444 
62537 107570 433 
52398 93154 443 
51360 96416 445 
53122 89294 442 
55886 106853 447 
51661 76335 496 
51177 89833 446 
49718 99102 428 
54154 89456 471 
51959 98224 464 
49199 82274 392 
62984 103056 513 
-6696 47020 353 
45876 68378 475 
45178 53482 524 
53241 93083 525 
52490 89184 469 
57890 92594 492 
56167 98315 433 
53912 97438 476 
73289 130136 395 
52643 96020 443 
9192 75531 280 
56777 104626 448 
55524 95839 472 
49592 83838 468 
55562 103145 421 
53486 96911 476 
53767 93835 464 
55865 97646 437 
51593 90554 483 
54723 89544 506 
56707 100884 437 
47364 78343 458 
54983 89392 494 
52809 94681 462 
53260 87460 482 
49293 87635 473 
52783 100055 486 
47029 65404 437 
54834 97549 411 
56222 99944 466 
53736 86619 473 
100970 175019 255 
2993 51429 345 
53719 96935 455 
47407 76433 516 
49563 96419 399 
56393 104557 425 
52188 95109 476 
54872 98033 449 
50922 86146 474 
56858 100651 486 
59790 109221 495 
115497 166615 397 
45750 62754 478 
51844 93289 485 
58953 94594 474 
46608 63952 454 
54296 100328 465 
54549 93081 492 
52056 92631 450 
53611 92565 459 
51411 94728 479 
55295 106960 427 
55125 99917 437 
55538 101098 445 
60500 123254 427 
55402 95057 443 
52589 93703 459 
54757 95812 479 
56701 111848 433 
53682 90361 454 
53447 91038 479 
33820 17347 681 
45312 64079 467 
59075 108613 440 
52441 92324 464 
53919 99682 439 
49961 90414 432 
57556 103415 461 
50442 63757 597 
55065 104940 424 
55063 94311 465 
52716 99012 483 
55530 103883 441 
49496 81623 476 
53014 95842 484 
55504 93769 493 
54264 96900 437 
60594 120896 427 
62019 103256 461 
8717 85467 336 
50260 80460 471 
101803 175345 220 
28055 29512 533 
60484 115694 411 
51200 78510 445 
53910 95146 519 
50243 82847 467 
56200 88100 476 
51077 88306 451 
53831 96014 474 
57385 103347 448 
52536 92575 451 
54171 94135 477 
52088 96248 475 
56346 107279 442 
54487 95751 433 
52863 97312 470 
55228 96873 477 
55273 94306 446 
50821 76309 541 
54825 86767 498 
50999 87983 462 
59652 104556 461 
69316 137219 401 
51118 90220 461 
54982 96506 440 
3219 70436 296 
50743 88282 486 
51858 81569 512 
55274 93434 455 
57009 101447 457 
57142 110033 509 
52380 94456 460 
53409 93019 450 
52090 90978 486 
53566 96367 490 
82989 147887 434 
50354 82480 482 
58769 108601 502 
58450 97784 462 
54659 92171 467 
53151 86697 486 
57732 118905 455 
50013 98941 421 
47017 69058 471 
51327 90588 488 
54065 111732 403 
55354 91850 467 
53104 103557 454 
54536 107573 461 
55037 94683 452 
51672 93576 457 
53902 99473 467 
46735 75515 471 
59219 110374 433 
53516 94605 469 
55572 101840 483 
51223 92279 449 
54256 94598 461 
54157 95497 477 
55153 96714 441 
53384 89726 457 
54457 91906 481 
50721 81285 515 
73149 135529 398 
63718 127540 423 
48473 80188 479 
51254 83743 472 
50275 83475 477 
55265 99276 482 
46505 62334 522 
57267 102586 440 
44635 58131 479 
55651 96398 466 
3443 23016 401 
55308 106828 431 
56810 89200 437 
51104 91878 479 
48915 90877 464 
50524 83751 477 
54630 97311 472 
58826 109919 433 
58424 102728 425 
65060 125595 416 
56255 99866 473 
55436 104360 507 
51861 102651 382 
52187 92644 482 
52431 82309 465 
50064 83571 459 
51110 92836 416 
54574 95270 477 
53122 91178 473 
54798 100940 437 
54126 87209 485 
51187 93400 469 
55893 89475 449 
51904 94617 439 
53812 94552 478 
55670 95747 466 
52555 93668 446 
56187 110269 460 
49555 85137 499 
58372 101351 449 
45166 74772 461 
87986 159825 430 
53095 92892 482 
46228 46662 517 
53210 89133 509 
