qShort qLong cfd_y1 cfd_y2 baseline height eventCounter eventCounterPSD psdValue 
95891 94806 23 -33 483 2422 695 0 -374 
96937 97132 41 -18 424 2356 696 0 65 
85511 85794 35 -31 456 2368 697 0 108 
108067 97787 49 -24 473 2480 698 0 -3444 
88483 62728 63 -14 492 2466 699 0 -13453 
87855 78541 6 -39 434 2348 700 0 -3885 
91897 86449 13 -38 469 2404 701 0 -2064 
91486 103274 20 -44 449 2387 702 0 3740 
97516 87964 66 -5 437 2397 703 0 -3558 
93712 91355 4 -34 458 2389 704 0 -845 
102810 100402 35 -24 444 2412 705 0 -785 
96599 76940 41 -27 461 2421 706 0 -8372 
97479 80143 63 -12 444 2390 707 0 -7087 
70114 45128 26 -39 500 2406 708 0 -18142 
91886 66328 50 -7 526 2478 709 0 -12626 
77559 43355 43 -2 483 2403 710 0 -25850 
87561 67504 50 -19 470 2417 711 0 -9735 
97483 92815 56 -11 457 2406 712 0 -1647 
85846 75229 59 -10 467 2389 713 0 -4624 
75390 58443 45 -17 463 2367 714 0 -9501 
95050 86848 24 -34 475 2423 715 0 -3094 
103559 92758 34 -34 473 2488 716 0 -3815 
91678 81540 43 -24 450 2385 717 0 -4073 
88083 74429 28 -36 494 2423 718 0 -6011 
96837 90075 52 -11 480 2431 719 0 -2459 
83154 63384 41 -26 485 2413 720 0 -10220 
96649 90492 12 -29 428 2370 721 0 -2229 
89585 77358 1 -47 483 2416 722 0 -5179 
64193 68439 176 -37 414 832 723 0 2032 
95537 88247 14 -39 463 2409 724 0 -2706 
95335 86115 31 -29 444 2391 725 0 -3508 
98282 96075 32 -25 467 2406 726 0 -752 
89779 69146 17 -47 508 2452 727 0 -9777 
92808 87301 40 -25 446 2382 728 0 -2066 
100471 94576 0 -33 434 2399 729 0 -2042 
99583 91950 54 -15 468 2427 730 0 -2720 
62717 29535 22 -2 527 2398 731 0 28723 
89642 86450 54 -14 463 2379 732 0 -1209 
34590 -977 15 -35 613 2424 733 0 13211 
103672 83570 12 -31 468 2459 734 0 -7881 
-46526 -97181 88 -102 675 2294 735 0 17079 
